post_academy_company,post_academy_segment
Brick&Bolt,High Growth Startups
Bright Money,High Growth Startups
BrightCHAMPS,High Growth Startups
Brillio,High Growth Startups
Browserstack,High Growth Startups
Byju's,High Growth Startups
CES,High Growth Startups
CGI,High Growth Startups
CME Group,Established Business
CaaStle,Services
Camcom,SMB
Capgemini,Services
Capillary Technologies,High Growth Startups
CaptainFresh,High Growth Startups
Carestack,High Growth Startups
Carousell,High Growth Startups
Cashfree,High Growth Startups
Celigo,High Growth Startups
Cerence,High Growth Startups
Cisco,Tech Giants
Citi,Established Business
CitiusTech,Amazing Startups
Clari,High Growth Startups
Clario,Amazing Startups
Classplus,High Growth Startups
ClearTax,High Growth Startups
ClearTrail Technologies,High Growth Startups
Cleartrip,High Growth Startups
Clearwater Analytics,High Growth Startups
CleverTap,High Growth Startups
ClickPost,High Growth Startups
ClooTrack,SMB
Cloud Stakes,Services
CodeParva,SMB
CoffeeBeans,High Growth Startups
Coforge,Established Business
Cognizant,Services
Cogoport,High Growth Startups
Cohesity,High Growth Startups
Coinbase,High Growth Startups
Comcast,Amazing Startups
Commerce IQ,Services
Commonwealth Bank,Established Business
Compass,Services
Compunnel,Amazing Startups
Comviva,Established Business
ConcertAI,High Growth Startups
Continental,Established Business
Converse Now,High Growth Startups
Converse Now,SMB
CoreFlex Solutions Inc,High Growth Startups
Cornerstone OnDemand,Amazing Startups
Credera,High Growth Startups
Credit Suisse,Established Business
Crego,SMB
Crimecheck.ai,High Growth Startups
Crisil,Services
Cuemath,High Growth Startups
Cynergyis Infotech,High Growth Startups
Cyware Labs,High Growth Startups
DB Digital,SMB
DE Shaw,Established Business
DP World,Established Business
DSP Mutual Fund,High Growth Startups
Dassault Systemes,Established Business
DataOrb,High Growth Startups
Dazn,Amazing Startups
Dedalus,Established Business
Deel,High Growth Startups
Delhivery,High Growth Startups
Deloitte,Services
Delphix,Amazing Startups
Deutsche Bank,Established Business
Diacoustic Labs Pvt Ltd,High Growth Startups
Disprz,High Growth Startups
Dotdash Meredith,High Growth Startups
Dream11 Group Of Companies,High Growth Startups
Dreamx,SMB
Drip Capital,High Growth Startups
Druva,High Growth Startups
Dun and Bradstreet,Tech Giants
Dunzo,High Growth Startups
Durianpay,SMB
E9 Solutions,High Growth Startups
EA,Established Business
EPAM Systems,High Growth Startups
ET Money,Established Business
EXL,Established Business
EY,Established Business
Easy Eat,SMB
EdgeVerve,SMB
Eko,High Growth Startups
Eli Lilly,Established Business
Elocity,High Growth Startups
Elsevier,High Growth Startups
Encora,High Growth Startups
Endo-Vision,SMB
Entropik,High Growth Startups
Epsilon,High Growth Startups
Euromonitor International,Established Business
Evernorth Health Services,Established Business
Evernorth Health Services,High Growth Startups
ExaThought,SMB
ExamRoom AI,High Growth Startups
Expedia,Established Business
Eze Software,High Growth Startups
FPL Technologies,High Growth Startups
FPL Technologies,Amazing Startups
Facefirst,High Growth Startups
FactSet,Established Business
FarEye,High Growth Startups
Faurecia,Established Business
Fico,High Growth Startups
Finflux,High Growth Startups
Firsthive,High Growth Startups
Fisdom,High Growth Startups
Fleetx.io,Services
Flexiloans,High Growth Startups
Flipkart,Amazing Startups
Flipkart,High Growth Startups
Folly Systems,SMB
Foxo.club,SMB
Fractal,Amazing Startups
Fractal,High Growth Startups
FreeCharge,High Growth Startups
Freight Tiger,High Growth Startups
Freightwalla,High Growth Startups
Freo,High Growth Startups
Freshworks,High Growth Startups
Frontdoor Inc,High Growth Startups
Furlenco,SMB
Fyers,High Growth Startups
Fynd,High Growth Startups
GGWP,High Growth Startups
Gaian Solutions,High Growth Startups
Games 24X7,High Growth Startups
Ganit,SMB
Garmin Technologies,Amazing Startups
Genpact,Services
Get Mega,SMB
Get My Parking,High Growth Startups
Girnar Newtel,High Growth Startups
Glance,High Growth Startups
Global Healthcare Billing Partners Private Limited,SMB
Globant,High Growth Startups
Go Group,High Growth Startups
GoKwik,High Growth Startups
GoSharpner,Services
Gobolt,High Growth Startups
Gojek Tech,High Growth Startups
Goldman Sachs,Fin Tech
Goldman Sachs,Established Business
Google,Tech Giants
Google,Established Business
Graas,SMB
Great Learning,High Growth Startups
Gritisys,SMB
Grofers,High Growth Startups
GroupM,High Growth Startups
Groupon,High Growth Startups
Groyyo,High Growth Startups
Gupshup,High Growth Startups
Gurucool,Services
H&M,Established Business
HCL Technologies,Services
HCL Technologies,Established Business
HSBC,Established Business
Hackerearth,High Growth Startups
Happy fresh,High Growth Startups
HashedIn by Deloitte,High Growth Startups
Head Digital,High Growth Startups
HealthPlix,High Growth Startups
Healthify Me,High Growth Startups
High Peak Software,SMB
HighRadius,High Growth Startups
Highbrow Technology Inc,SMB
Hike,High Growth Startups
Hippo Video,High Growth Startups
Hitachi,Established Business
Hotstar,Established Business
Hyland,SMB
I-PAC,High Growth Startups
IBM,Services
IBO,High Growth Startups
IDBI Intech LTD,High Growth Startups
INDmoney,High Growth Startups
ION,Established Business
ImmuniotoAI,High Growth Startups
Impact Analytics,Services
InMobi,Established Business
Inception Cloud,SMB
Incred,Amazing Startups
Indiabuys,SMB
Indium Software,SMB
Inference.ai,High Growth Startups
Infogain,High Growth Startups
Informatica,Established Business
Infosys,Services
Infra.Market,High Growth Startups
Inheaden,SMB
Innovaccer,SMB
Inspiron Labs,SMB
Inspiron Labs,Services
Instalimb,High Growth Startups
Insurancedeko,High Growth Startups
Intel,Established Business
Intellect Design Arena,High Growth Startups
Intellicar Telematics,SMB
Intuit,Tech Giants
Intuit,Established Business
Iris Software,High Growth Startups
Ischool Connect,SMB
Isimplexcity,High Growth Startups
Ivy,SMB
Ivy Comptech,Services
IvyKids,SMB
Ixigo,High Growth Startups
JPMorgan Chase,Amazing Startups
JPMorgan Chase,Established Business
Jio,High Growth Startups
Jio,Established Business
Joveo,High Growth Startups
Jumbotail,High Growth Startups
Junglee Games,High Growth Startups
KLA Corporation,Established Business
KPMG India,Established Business
Kaleidofin,High Growth Startups
Kazam,High Growth Startups
Khabri,High Growth Startups
Khoros,High Growth Startups
Kickdrum,Amazing Startups
Kinara,High Growth Startups
KloudGin,SMB
Klub,High Growth Startups
Knowlarity Communications,High Growth Startups
Kommunicate,High Growth Startups
Komprise,High Growth Startups
Kore.ai,Amazing Startups
Kore.ai,High Growth Startups
KredX,High Growth Startups
KreditBee,High Growth Startups
Krishify,High Growth Startups
Kuvera,High Growth Startups
Kyndryl,High Growth Startups
LTI,Established Business
LTI,Services
Leadschool,High Growth Startups
Leena.ai,High Growth Startups
Lendingkart,High Growth Startups
Lenskart,High Growth Startups
Lentra,High Growth Startups
Leucine,SMB
Lido Learning,High Growth Startups
Lifesight,High Growth Startups
Linkedin,Tech Giants
Livspace,High Growth Startups
Loop Health,High Growth Startups
Lowe's India,Established Business
Lumina Datamatics,Services
MAQ Software,High Growth Startups
MPL,High Growth Startups
MResult Services,High Growth Startups
MSR Cosmos,Amazing Startups
Maersk,Established Business
Maestro Technologies,High Growth Startups
MakeMyTrip,High Growth Startups
MarLabs LLC,High Growth Startups
Mastercard,Established Business
Mastercard,Tech Giants
McKinsey & Co,Established Business
Media Melon,SMB
Media.net,Amazing Startups
Media.net,High Growth Startups
Meesho,Amazing Startups
Meesho,High Growth Startups
Mensa Brands,Amazing Startups
Mensa Brands,High Growth Startups
Metlife,Established Business
Mialo Technologies,SMB
Microsoft,Tech Giants
MindShare,Services
MindTickle,High Growth Startups
Mindshare India,High Growth Startups
Mindtree,Services
MintMesh Corporation,High Growth Startups
MoEVing,High Growth Startups
Mobikwik,High Growth Startups
Moengage,High Growth Startups
Moglix,Amazing Startups
Monetize360,High Growth Startups
Money View,High Growth Startups
MoneyTap,High Growth Startups
Monocept,High Growth Startups
Montran,SMB
Moodys Investor Service,Established Business
Morgan Stanley,Established Business
Morgan Stanley,Investment Bank
Mosaic Wellness,High Growth Startups
Motorola,Established Business
Mountblue,High Growth Startups
Mphasis,Services
Multiple Fintech Solutions,High Growth Startups
Mursion,High Growth Startups
MyGate,High Growth Startups
MyGlamm,High Growth Startups
Myntra,High Growth Startups
Mystifly,High Growth Startups
NTT Data,Established Business
NatWest Group,Established Business
Navi,High Growth Startups
NeoSOFT,Services
NetCore Cloud,High Growth Startups
Netmeds,High Growth Startups
Netomi,High Growth Startups
Netradyne Technologies,High Growth Startups
Newfold Digital,High Growth Startups
Next Ventures,High Growth Startups
Nextiva,Amazing Startups
Nextwave,High Growth Startups
Nference,High Growth Startups
Nfolks data solutions,SMB
Nielsen,Amazing Startups
Nielsen,High Growth Startups
Nile,High Growth Startups
Nimble Box,High Growth Startups
NinjaCart,High Growth Startups
Niro,SMB
Niro,High Growth Startups
NoBroker,High Growth Startups
Nokia,Established Business
Nouveau Labs,SMB
Nova,High Growth Startups
Novopay,SMB
Nurture Farm,High Growth Startups
Nvidia,Tech Giants
Nymble,SMB
OLX,High Growth Startups
OSlash,High Growth Startups
OYO,High Growth Startups
Ocube Services,Services
Oisterglobal,Amazing Startups
Ola,High Growth Startups
Ola Electric,High Growth Startups
OneCard,High Growth Startups
Onmobile,High Growth Startups
Onsurity,High Growth Startups
Open Bank,High Growth Startups
OpenText,High Growth Startups
Optum,Established Business
Oracle,High Growth Startups
Oracle,Tech Giants
Otomeyt,High Growth Startups
PW (PhysicsWallah),High Growth Startups
Pasarpolis,High Growth Startups
PayPal,Amazing Startups
PayPal,Tech Giants
PayPal,High Growth Startups
PayU,High Growth Startups
Paymatrix,High Growth Startups
Paysafe,High Growth Startups
Paytm,High Growth Startups
Pegasystems,Established Business
Peppo,High Growth Startups
Peritus.Ai,SMB
Petasense,SMB
Petco,Established Business
Phablecare,High Growth Startups
PharmEasy,High Growth Startups
Philips,Tech Giants
PhonePe,High Growth Startups
Pine Labs,High Growth Startups
Pocket FM,High Growth Startups
Pocket52,SMB
Postman,High Growth Startups
PowerSchool,Established Business
Practo,High Growth Startups
Predii,High Growth Startups
Priceline,Established Business
Principal Financial Group,High Growth Startups
Prismo systems,High Growth Startups
Progcap,High Growth Startups
Progress Software,High Growth Startups
ProgressSoft,High Growth Startups
Protiviti Capability Center,Amazing Startups
Provakil,Amazing Startups
PubMatic,High Growth Startups
Publicis Groupe,Established Business
Publicis Sapient,High Growth Startups
PwC,Tech Giants
Q3 Technologies,High Growth Startups
QapitalQA,High Growth Startups
Qualcomm,Established Business
Quantum Phinance,SMB
Qube Cinema,High Growth Startups
Qube Cinema,Fresher
RELX,High Growth Startups
RKS Cloud,High Growth Startups
Rainpay India,High Growth Startups
Rakuten,Services
Rakuten,Established Business
Randstad,Established Business
Rara Delivery,High Growth Startups
Razorpay,High Growth Startups
Rebel Foods,SMB
Rebel Foods,High Growth Startups
Recro,High Growth Startups
Recrosoft,High Growth Startups
RecruitCRM,High Growth Startups
Recykal,High Growth Startups
Redbus,High Growth Startups
Relevance Lab,Services
Repute,SMB
Repute,High Growth Startups
ResMed India,Amazing Startups
Rheo,High Growth Startups
Rheo,SMB
Robosoft,High Growth Startups
Rocket learning,SMB
Roxiler Systems,SMB
Rupyz,SMB
S&P Global Market Intelligence,Established Business
SAP,Tech Giants
SAP,Established Business
SOLIZE India Technologies Private Limited,High Growth Startups
SOLIZE India Technologies Private Limited,SMB
SVAAS Wellness Limited,High Growth Startups
Safe Security,High Growth Startups
SagasIT Analytics Pvt. Ltd.,High Growth Startups
Salesforce,Tech Giants
Salesken,High Growth Startups
Samsung,Established Business
Scaler,High Growth Startups
Schlumberger,Established Business
Sears,SMB
Seasia Infotech,SMB
Securonix,Fresher
Senseforth,High Growth Startups
ServiceNow,Established Business
Sharechat,High Growth Startups
Shell,Established Business
Shiprocket,High Growth Startups
Shuru,High Growth Startups
Siemens,Established Business
Sigmoid Analytics,High Growth Startups
Simpl,High Growth Startups
Simplable Solutions,SMB
Simpragma Solutions PVT LTD,SMB
Siply,SMB
Skuad,SMB
SmartCoin,High Growth Startups
Smiles.ai,High Growth Startups
Snapdeal,High Growth Startups
Societe Generale,Established Business
Softwareone,High Growth Startups
Spatic,High Growth Startups
Spectrum Global,High Growth Startups
Spinny,High Growth Startups
Splashlearn,High Growth Startups
SpotDraft,High Growth Startups
State Street corporation,Amazing Startups
Stayqrious,SMB
StockX,High Growth Startups
Strata,High Growth Startups
Strauss,High Growth Startups
Sundial,Services
Suprdaily,High Growth Startups
Sureify,High Growth Startups
"Suuchi, Inc.",High Growth Startups
Swiggy,High Growth Startups
Swiggy,Amazing Startups
Swvl,High Growth Startups
Syfe,High Growth Startups
SymphonyAI,High Growth Startups
Synechron,High Growth Startups
Synopsys,High Growth Startups
Synopsys,Established Business
TATA AIG,Established Business
TCS,Services
Talent 500,SMB
TalentSavvy,High Growth Startups
Target,Established Business
Tata 1mg,Amazing Startups
Tata Digital,Established Business
Taylor & Francis Group,Established Business
TechMojo,High Growth Startups
TechnoIdentity,Services
Technovert Solutions,SMB
Techolution,High Growth Startups
Tekion,High Growth Startups
Tekion,Amazing Startups
Telstra,Established Business
TerrablueXT,SMB
Test Yantra Software Solutions,SMB
The Better India,High Growth Startups
Themathcompany,High Growth Startups
Thinkify.io,SMB
Thoughtspark,SMB
Thoughtworks,Services
Thoughtworks,Amazing Startups
Tiger Analytics,Services
Times Internet,Established Business
Tokopedia,High Growth Startups
Toppr,High Growth Startups
Tower Research Capital,High Growth Startups
Townscript,High Growth Startups
Tracxn,SMB
Travel Triangle,SMB
Traveloka,High Growth Startups
Trillbit Solutions,SMB
Turing,Amazing Startups
Turvo,High Growth Startups
TwoDotSeven,SMB
UKG,Amazing Startups
UST Global,Tech Giants
Uber,High Growth Startups
Uber,Amazing Startups
Udaan,High Growth Startups
Ula,High Growth Startups
Unacademy,High Growth Startups
Uniphore,High Growth Startups
Unisys,High Growth Startups
United Health Group,Established Business
Unravel Data,High Growth Startups
Unscript,SMB
Upstox,High Growth Startups
Urban Company,High Growth Startups
Urbanpiper,High Growth Startups
Uvi Health,High Growth Startups
VMware,Tech Giants
VMware,Established Business
Vahak,High Growth Startups
VerSe Innovation,Amazing Startups
VerSe Innovation,High Growth Startups
Verdis.ai,SMB
Verloop.io,SMB
Vimeo,High Growth Startups
Vindiata,SMB
Visa,Tech Giants
Visible Alpha,High Growth Startups
Vymo,High Growth Startups
Wadhwani Ai,SMB
Wakefit,High Growth Startups
Walmart,Established Business
Warner Bros. Discovery,Amazing Startups
Wayfair,Amazing Startups
Webkul Software Pvt Ltd,High Growth Startups
WedMeGood,High Growth Startups
Wells Fargo,Established Business
Wexa AI,SMB
Whatfix,High Growth Startups
WheelsEye,High Growth Startups
WheelsEye,SMB
Whyminds,High Growth Startups
Whyminds,SMB
Wingify,Amazing Startups
WiseTech Global,Established Business
Wissen Technology,High Growth Startups
Wissen Technology,Services
Workex.Ai,High Growth Startups
Workfusion,High Growth Startups
Workspan,High Growth Startups
WorldQuant,Established Business
Xperi,High Growth Startups
Xpressbees,High Growth Startups
Yash Techno,Services
Yext,High Growth Startups
Yoro,High Growth Startups
ZS,Services
Zageno,High Growth Startups
Zee,Established Business
Zee,High Growth Startups
Zendrive,High Growth Startups
Zenoti,High Growth Startups
Zestmoney,High Growth Startups
Zeta,High Growth Startups
Zeta Global,High Growth Startups
Zetwerk,High Growth Startups
Zoomcar,High Growth Startups
Zopsmart,High Growth Startups
Zupee,High Growth Startups
Zycus,High Growth Startups
Zynga,High Growth Startups
axcess.io,High Growth Startups
eClerx,SMB
enParadigm,High Growth Startups
iElektron Technologies,High Growth Startups
impacteers.club,SMB
sila india,High Growth Startups
